rank	name	childcount	min	max	mode	median	mean	stddev
genus	Bacillus	609	1	19	10	10	10.38	2.38
genus	Escherichia/Shigella	1087	6	11	7	7	7.01	0.23
genus	Methanococcus	12	2	4	2	2.5	2.58	0.64
genus	Corynebacterium	246	3	7	4	4.0	4.37	0.79
genus	Ureaplasma	13	2	2	2	2	2.00	0.00
genus	Yersinia	106	6	9	7	7.0	6.90	0.45
genus	Chlamydia	146	1	3	2	2.0	1.77	0.46
genus	Xylella	16	2	2	2	2.0	2.00	0.00
genus	Vibrio	196	6	15	12	10.0	10.30	1.80
genus	Pseudomonas	536	1	9	4	5.0	4.94	1.13
genus	Streptococcus	636	1	9	6	6.0	5.39	1.19
genus	Halobacterium	5	1	1	1	1	1.00	0.00
genus	Pasteurella	62	1	8	6	6.0	5.92	0.70
genus	Neisseria	183	1	5	4	4	3.99	0.26
genus	Lactococcus	46	4	6	6	6.0	5.76	0.52
genus	Caulobacter	13	2	3	2	2	2.08	0.27
genus	Salmonella	788	5	8	7	7.0	6.99	0.17
genus	Ensifer	34	2	5	3	3.0	3.03	0.38
genus	Chlorobaculum	2	2	2	2	2.0	2.00	0.00
genus	Sulfolobus	32	1	1	1	1.0	1.00	0.00
genus	Rickettsia	65	1	1	1	1	1.00	0.00
genus	Methanosarcina	25	3	3	3	3	3.00	0.00
genus	Caldanaerobacter	1	4	4	4	4	4.00	0.00
genus	Zymomonas	14	2	3	3	3.0	2.86	0.35
genus	Brucella	120	3	3	3	3.0	3.00	0.00
genus	Xanthomonas	214	1	2	2	2.0	1.99	0.10
genus	Methanopyrus	1	1	1	1	1	1.00	0.00
genus	Pyrobaculum	4	1	1	1	1.0	1.00	0.00
genus	Pyrococcus	11	1	1	1	1	1.00	0.00
genus	Buchnera	38	1	3	1	1.0	1.05	0.32
genus	Tropheryma	2	1	1	1	1.0	1.00	0.00
genus	Bifidobacterium	134	2	6	4	3.0	3.31	0.94
genus	Porphyromonas	24	2	5	4	4.0	3.96	0.45
genus	Clostridium sensu stricto	126	4	16	9	9.0	9.84	1.96
genus	Staphylococcus	599	1	8	6	6	5.57	0.87
genus	Leifsonia	5	1	3	1	1	1.40	0.80
genus	Leptospira	31	2	2	2	2	2.00	0.00
genus	Chromobacterium	10	8	8	8	8.0	8.00	0.00
genus	Basfia	1	6	6	6	6	6.00	0.00
genus	Coxiella	16	1	1	1	1.0	1.00	0.00
genus	Enterococcus	190	4	7	6	6.0	5.58	0.83
genus	Mycobacterium	326	1	3	1	1.0	1.13	0.35
genus	Helicobacter	191	1	3	2	2	1.95	0.25
genus	GpIIa	28	1	3	2	2.0	1.68	0.66
genus	Haemophilus	107	6	7	6	6	6.01	0.10
genus	Geobacter	13	2	4	2	2	2.54	0.84
genus	Anaplasma	29	1	1	1	1	1.00	0.00
genus	Lactobacillus	394	1	11	5	5.0	5.36	1.22
genus	Thermus	16	1	2	2	2.0	1.94	0.24
genus	Treponema	18	2	4	2	2.0	2.28	0.65
genus	Mycoplasma	183	1	5	1	1	1.61	0.75
genus	Picrophilus	1	1	1	1	1	1.00	0.00
genus	Listeria	203	1	6	6	6	5.69	0.60
genus	Mesoplasma	21	2	3	2	2	2.10	0.29
genus	Methylococcus	1	2	2	2	2	2.00	0.00
genus	Propionibacterium	56	2	6	3	3.0	2.84	0.84
genus	Idiomarina	5	4	4	4	4	4.00	0.00
genus	Legionella	119	3	4	3	3	3.10	0.30
genus	Thermotoga	16	1	1	1	1.0	1.00	0.00
genus	Deinococcus	21	3	5	3	3	3.38	0.58
genus	Aquifex	1	2	2	2	2	2.00	0.00
genus	Methanothermobacter	5	2	2	2	2	2.00	0.00
genus	Archaeoglobus	5	1	1	1	1	1.00	0.00
genus	Francisella	84	1	3	3	3.0	2.94	0.28
genus	Dehalococcoides	25	1	1	1	1	1.00	0.00
genus	Campylobacter	272	1	4	3	3.0	2.49	0.87
genus	Ralstonia	55	2	4	4	4	3.44	0.63
genus	Nitrosomonas	7	1	1	1	1	1.00	0.00
genus	Haloquadratum	2	2	2	2	2.0	2.00	0.00
genus	Clostridium XI	56	10	17	12	12.0	12.07	0.94
genus	Rhizobium	95	2	6	3	3	3.39	0.69
genus	Cupriavidus	18	4	7	4	5.0	5.17	1.17
genus	Alcanivorax	5	2	3	2	2	2.40	0.49
genus	Burkholderia	290	2	7	4	4.0	4.70	0.96
genus	Mesorhizobium	20	1	2	2	2.0	1.85	0.36
genus	GpI	29	1	6	4	4	3.97	0.96
genus	Streptomyces	188	3	8	6	6.0	6.19	0.54
genus	Geobacillus	27	8	11	10	10	9.56	0.74
genus	Nocardia	16	3	5	3	3.0	3.25	0.56
genus	Klebsiella	440	7	9	8	8.0	7.99	0.13
genus	Symbiobacterium	1	6	6	6	6	6.00	0.00
genus	Bacteroides	35	4	7	6	6	5.51	0.91
genus	Thermococcus	30	1	1	1	1.0	1.00	0.00
genus	Magnetospirillum	6	2	2	2	2.0	2.00	0.00
genus	Desulfitobacterium	5	5	8	6	6	6.20	0.98
genus	GpIIb	4	2	2	2	2.0	2.00	0.00
genus	Sodalis	12	1	7	1	1.0	2.83	2.64
genus	Rhodococcus	47	3	6	4	4	4.26	0.56
genus	Brevibacillus	14	7	17	12	12.5	12.79	2.21
genus	Finegoldia	1	4	4	4	4	4.00	0.00
genus	Orientia	11	1	1	1	1	1.00	0.00
genus	Kocuria	10	3	3	3	3.0	3.00	0.00
genus	Gemmatimonas	3	1	2	2	2	1.67	0.47
genus	Nitratiruptor	1	3	3	3	3	3.00	0.00
genus	Sulfurovum	1	3	3	3	3	3.00	0.00
genus	Candidatus Carsonella	7	1	1	1	1	1.00	0.00
genus	Azorhizobium	1	3	3	3	3	3.00	0.00
genus	Macrococcus	5	4	5	5	5	4.80	0.40
genus	GpXI	7	2	2	2	2	2.00	0.00
genus	Desulfovibrio	20	1	7	3	3.0	3.50	1.36
genus	Azospirillum	15	2	10	9	9	8.20	2.54
genus	Hydrogenobacter	2	1	1	1	1.0	1.00	0.00
genus	Acetobacter	28	3	5	5	5.0	4.86	0.44
genus	Deferribacter	1	2	2	2	2	2.00	0.00
genus	Methanocella	3	2	3	2	2	2.33	0.47
genus	Rothia	6	3	3	3	3.0	3.00	0.00
genus	Haloarcula	6	2	3	3	3.0	2.83	0.37
genus	Aeropyrum	2	1	1	1	1.0	1.00	0.00
genus	Thermoplasma	2	1	1	1	1.0	1.00	0.00
genus	Oceanobacillus	4	7	10	10	9.0	8.75	1.30
genus	Bradyrhizobium	34	1	2	1	1.0	1.21	0.40
genus	GpIV	4	1	3	1	1.5	1.75	0.83
genus	Pectobacterium	26	7	7	7	7.0	7.00	0.00
genus	Gluconobacter	7	4	5	5	5	4.57	0.49
genus	Histophilus	21	5	5	5	5	5.00	0.00
genus	Aliivibrio	4	7	13	12	12.0	11.00	2.35
genus	Ruegeria	5	3	5		4	4.00	0.89
genus	Borrelia	18	1	1	1	1.0	1.00	0.00
genus	Acholeplasma	16	2	4	2	2.0	2.19	0.53
genus	Psychrobacter	14	3	6	4	4.0	4.36	0.81
genus	Colwellia	8	5	9	6	6.0	6.88	1.45
genus	Candidatus Pelagibacter	5	1	1	1	1	1.00	0.00
genus	Thermobifida	1	4	4	4	4	4.00	0.00
genus	Ferribacterium	1	4	4	4	4	4.00	0.00
genus	Chlorobium	8	1	3	2	2.0	2.00	0.71
genus	Methanosphaera	3	2	4	4	4	3.33	0.94
genus	Ehrlichia	15	1	1	1	1	1.00	0.00
genus	Thiomicrospira	7	3	4	3	3	3.14	0.35
genus	Myxococcus	11	3	4	4	4	3.82	0.39
genus	Nitrobacter	2	1	1	1	1.0	1.00	0.00
genus	Thiobacillus	1	2	2	2	2	2.00	0.00
genus	Nitrosococcus	5	2	2	2	2	2.00	0.00
genus	Parabacteroides	5	7	7	7	7	7.00	0.00
genus	Carboxydothermus	1	4	4	4	4	4.00	0.00
genus	Pelobacter	3	2	4		3	3.00	0.82
genus	Sulfurimonas	5	4	4	4	4	4.00	0.00
genus	Hahella	3	5	5	5	5	5.00	0.00
genus	Erythrobacter	11	1	2	1	1	1.36	0.48
genus	Hyphomonas	2	1	1	1	1.0	1.00	0.00
genus	Salinibacter	8	1	1	1	1.0	1.00	0.00
genus	Rhodospirillum	2	4	4	4	4.0	4.00	0.00
genus	Moorella	6	1	2	1	1.0	1.33	0.47
genus	Neorickettsia	3	1	1	1	1	1.00	0.00
genus	Novosphingobium	9	1	5	3	3	2.78	1.03
genus	Rhodopseudomonas	9	1	2	2	2	1.89	0.31
genus	Anaeromyxobacter	4	2	2	2	2.0	2.00	0.00
genus	Syntrophus	1	1	1	1	1	1.00	0.00
genus	Methanospirillum	1	4	4	4	4	4.00	0.00
genus	Rhodoferax	6	1	5		2.5	2.67	1.25
genus	Herminiimonas	3	2	2	2	2	2.00	0.00
genus	Saccharophagus	1	2	2	2	2	2.00	0.00
genus	Methylobacillus	1	2	2	2	2	2.00	0.00
genus	Methanococcoides	2	3	3	3	3.0	3.00	0.00
genus	Shewanella	50	7	15	8	9.0	9.28	1.58
genus	Polaromonas	3	1	2	1	1	1.33	0.47
genus	Sphingopyxis	12	1	1	1	1.0	1.00	0.00
genus	Candidatus Koribacter	1	1	1	1	1	1.00	0.00
genus	Arcobacter	27	4	6	5	5	5.00	0.72
genus	Roseobacter	3	1	1	1	1	1.00	0.00
genus	Cytophaga	1	3	3	3	3	3.00	0.00
genus	Rubrobacter	4	1	1	1	1.0	1.00	0.00
genus	Paraglaciecola	2	5	6		5.5	5.50	0.50
genus	Chelativorans	1	2	2	2	2	2.00	0.00
genus	GpXII	1	2	2	2	2	2.00	0.00
genus	Granulibacter	10	3	3	3	3.0	3.00	0.00
genus	Oenococcus	7	2	2	2	2	2.00	0.00
genus	Leuconostoc	37	3	4	4	4	3.95	0.23
genus	Pediococcus	30	2	5	5	5.0	4.60	0.66
genus	Syntrophomonas	1	3	3	3	3	3.00	0.00
genus	Maricaulis	1	2	2	2	2	2.00	0.00
genus	Alkalilimnicola	1	2	2	2	2	2.00	0.00
genus	Aeromonas	65	7	11	10	10	9.91	0.52
genus	Magnetococcus	1	3	3	3	3	3.00	0.00
genus	Candidatus Solibacter	1	2	2	2	2	2.00	0.00
genus	Arthrobacter	34	4	9	6	5.5	5.50	1.09
genus	Syntrophobacter	1	2	2	2	2	2.00	0.00
genus	Acidothermus	1	1	1	1	1	1.00	0.00
genus	Pyrodictium	2	1	1	1	1.0	1.00	0.00
genus	Thermofilum	4	1	1	1	1.0	1.00	0.00
genus	Nocardioides	15	2	6	2	2	2.67	1.01
genus	Psychromonas	2	10	10	10	10.0	10.00	0.00
genus	Acidovorax	12	3	4		3.5	3.50	0.50
genus	Dichelobacter	1	3	3	3	3	3.00	0.00
genus	Marinobacter	16	1	4	3	3.0	2.81	0.73
genus	Bartonella	27	2	3	2	2	2.04	0.19
genus	Diaphorobacter	3	3	3	3	3	3.00	0.00
genus	Verminephrobacter	1	3	3	3	3	3.00	0.00
genus	Halorhodospira	2	2	2	2	2.0	2.00	0.00
genus	Methylibium	2	1	1	1	1.0	1.00	0.00
genus	Methanocorpusculum	1	3	3	3	3	3.00	0.00
genus	Methanoculleus	3	1	1	1	1	1.00	0.00
genus	Actinobacillus	19	6	6	6	6	6.00	0.00
genus	Staphylothermus	2	1	1	1	1.0	1.00	0.00
genus	Rhodobacter	11	2	4		3	3.36	0.64
genus	Desulfotomaculum	6	5	10	8	8.0	8.00	1.53
genus	Rhodocista	2	4	7		5.5	5.50	1.50
genus	Polynucleobacter	15	1	1	1	1	1.00	0.00
genus	Salinispora	2	3	3	3	3.0	3.00	0.00
genus	Methanobrevibacter	7	2	3	2	2	2.14	0.35
genus	Caldicellulosiruptor	9	3	3	3	3	3.00	0.00
genus	Metallosphaera	9	1	1	1	1	1.00	0.00
genus	Flavobacterium	40	1	13	6	5.0	4.88	2.55
genus	Roseiflexus	2	2	2	2	2.0	2.00	0.00
genus	Acidiphilium	2	2	2	2	2.0	2.00	0.00
genus	Sphingomonas	24	1	4	2	2.0	2.21	0.71
genus	Thermosipho	5	3	4	4	4	3.80	0.40
genus	Alkaliphilus	2	8	10		9.0	9.00	1.00
genus	Phenylobacterium	2	1	1	1	1.0	1.00	0.00
genus	Marinomonas	4	7	8	8	8.0	7.75	0.43
genus	Kineococcus	1	4	4	4	4	4.00	0.00
genus	Fervidobacterium	4	2	2	2	2.0	2.00	0.00
genus	Parvibaculum	1	1	1	1	1	1.00	0.00
genus	Methanoregula	2	1	1	1	1.0	1.00	0.00
genus	Xanthobacter	1	2	2	2	2	2.00	0.00
genus	Cronobacter	13	7	7	7	7	7.00	0.00
genus	Pseudothermotoga	4	1	1	1	1.0	1.00	0.00
genus	Ignicoccus	2	1	1	1	1.0	1.00	0.00
genus	Lysinibacillus	11	2	13	12	12	10.55	2.97
genus	Citrobacter	76	7	9	8	8.0	7.74	0.47
genus	Serratia	89	6	8	7	7	7.02	0.21
genus	Dinoroseobacter	1	2	2	2	2	2.00	0.00
genus	Caldivirga	1	1	1	1	1	1.00	0.00
genus	Acinetobacter	253	1	8	6	6	6.09	0.58
genus	Nitrosopumilus	11	1	1	1	1	1.00	0.00
genus	Petrotoga	1	2	2	2	2	2.00	0.00
genus	Delftia	5	5	5	5	5	5.00	0.00
genus	Clostridium XlVa	8	4	8	4	4.5	5.00	1.32
genus	Methylobacterium	25	4	11	5	5	5.64	1.89
genus	Chloroflexus	3	3	3	3	3	3.00	0.00
genus	Renibacterium	3	2	2	2	2	2.00	0.00
genus	Anoxybacillus	7	7	9	9	9	8.43	0.73
genus	Thermoanaerobacter	9	4	4	4	4	4.00	0.00
genus	Heliobacterium	1	10	10	10	10	10.00	0.00
genus	Cellvibrio	5	2	5		3	3.60	1.20
genus	GpX	7	2	2	2	2	2.00	0.00
genus	Candidatus Korarchaeum	1	1	1	1	1	1.00	0.00
genus	Beijerinckia	1	3	3	3	3	3.00	0.00
genus	Exiguobacterium	8	4	10	9	9.0	8.50	1.73
genus	Opitutus	5	1	2	1	1	1.20	0.40
genus	Natranaerobius	1	4	4	4	4	4.00	0.00
genus	Elusimicrobium	1	1	1	1	1	1.00	0.00
genus	Akkermansia	26	3	3	3	3.0	3.00	0.00
genus	Sulfurihydrogenibium	2	2	3		2.5	2.50	0.50
genus	Desulfobacterium	1	6	6	6	6	6.00	0.00
genus	Halothermothrix	1	4	4	4	4	4.00	0.00
genus	Chloroherpeton	1	1	1	1	1	1.00	0.00
genus	Prosthecochloris	5	1	2	2	2	1.80	0.40
genus	Alteromonas	35	1	7	5	5	4.83	1.00
genus	Lachnospiracea_incertae_sedis	6	4	8	5	5.0	5.33	1.25
genus	Stenotrophomonas	36	1	4	4	4.0	3.58	0.76
genus	Hydrogenobaculum	5	2	2	2	2	2.00	0.00
genus	Acidithiobacillus	8	2	2	2	2.0	2.00	0.00
genus	Edwardsiella	15	7	10	8	8	8.27	0.77
genus	Desulfurococcus	3	1	1	1	1	1.00	0.00
genus	Coprothermobacter	1	2	2	2	2	2.00	0.00
genus	Dictyoglomus	2	2	2	2	2.0	2.00	0.00
genus	Thermodesulfovibrio	1	1	1	1	1	1.00	0.00
genus	Laribacter	3	7	7	7	7	7.00	0.00
genus	Azotobacter	6	6	6	6	6.0	6.00	0.00
genus	Gluconacetobacter	2	4	4	4	4.0	4.00	0.00
genus	Oligotropha	3	1	1	1	1	1.00	0.00
genus	Persephonella	1	2	2	2	2	2.00	0.00
genus	Thermomicrobium	1	2	2	2	2	2.00	0.00
genus	Nautilia	2	4	4	4	4.0	4.00	0.00
genus	Methylocella	3	1	2	2	2	1.67	0.47
genus	Thauera	5	4	4	4	4	4.00	0.00
genus	Desulfatibacillum	1	2	2	2	2	2.00	0.00
genus	Methanosphaerula	1	3	3	3	3	3.00	0.00
genus	Thioalkalivibrio	5	1	1	1	1	1.00	0.00
genus	Brachyspira	9	1	1	1	1	1.00	0.00
genus	Halorubrum	5	2	3	2	2	2.40	0.49
genus	Acidobacterium	1	1	1	1	1	1.00	0.00
genus	Aggregatibacter	17	6	6	6	6	6.00	0.00
genus	Teredinibacter	2	3	3	3	3.0	3.00	0.00
genus	Tolumonas	1	8	8	8	8	8.00	0.00
genus	Beutenbergia	1	2	2	2	2	2.00	0.00
genus	Dyadobacter	2	3	4		3.5	3.50	0.50
genus	Micrococcus	8	2	3	2	2.0	2.12	0.33
genus	Desulfomicrobium	2	2	2	2	2.0	2.00	0.00
genus	Actinosynnema	3	5	5	5	5	5.00	0.00
genus	Acidimicrobium	1	2	2	2	2	2.00	0.00
genus	Capnocytophaga	23	3	4	4	4	3.52	0.50
genus	Kosmotoga	2	2	2	2	2.0	2.00	0.00
genus	Variovorax	6	2	3	2	2.0	2.17	0.37
genus	Brachybacterium	7	3	3	3	3	3.00	0.00
genus	Zunongwangia	1	3	3	3	3	3.00	0.00
genus	Paenibacillus	78	6	15	10	10.0	10.47	2.09
genus	Methylotenera	4	1	3	2	2.0	2.00	0.71
genus	Chryseobacterium	51	2	8	6	6	5.14	1.72
genus	Methylovorus	2	2	2	2	2.0	2.00	0.00
genus	Hirschia	1	2	2	2	2	2.00	0.00
genus	Pedobacter	9	3	7	4	4	4.44	1.26
genus	Cryptobacterium	1	3	3	3	3	3.00	0.00
genus	Saccharomonospora	2	3	3	3	3.0	3.00	0.00
genus	Slackia	2	2	2	2	2.0	2.00	0.00
genus	Leptotrichia	13	4	5	5	5	4.85	0.36
genus	Kytococcus	1	2	2	2	2	2.00	0.00
genus	Halorhabdus	2	1	1	1	1.0	1.00	0.00
genus	Halomicrobium	3	2	3	3	3	2.67	0.47
genus	Methanocaldococcus	6	2	2	2	2.0	2.00	0.00
genus	Chitinophaga	5	2	6	2	2	3.00	1.55
genus	Catenulispora	1	3	3	3	3	3.00	0.00
genus	Jonesia	3	5	5	5	5	5.00	0.00
genus	Kangiella	4	2	2	2	2.0	2.00	0.00
genus	Anaerococcus	2	3	4		3.5	3.50	0.50
genus	Robiginitalea	1	2	2	2	2	2.00	0.00
genus	Atopobium	1	1	1	1	1	1.00	0.00
genus	Eggerthella	2	3	3	3	3.0	3.00	0.00
genus	Alicyclobacillus	2	6	6	6	6.0	6.00	0.00
genus	Desulfohalobium	1	2	2	2	2	2.00	0.00
genus	Kribbella	1	2	2	2	2	2.00	0.00
genus	Nakamurella	2	2	3		2.5	2.50	0.50
genus	Thermomonospora	1	4	4	4	4	4.00	0.00
genus	Sebaldella	1	4	4	4	4	4.00	0.00
genus	Meiothermus	3	2	2	2	2	2.00	0.00
genus	Stackebrandtia	1	2	2	2	2	2.00	0.00
genus	Streptobacillus	2	5	5	5	5.0	5.00	0.00
genus	Ammonifex	1	2	2	2	2	2.00	0.00
genus	Fibrobacter	2	3	3	3	3.0	3.00	0.00
genus	Halothiobacillus	2	2	2	2	2.0	2.00	0.00
genus	Gordonia	12	2	4		3.0	3.25	0.72
genus	Haliangium	1	2	2	2	2	2.00	0.00
genus	Rhodothermus	2	1	1	1	1.0	1.00	0.00
genus	Streptosporangium	1	6	6	6	6	6.00	0.00
genus	Sulfurospirillum	9	2	4	3	3	2.78	0.63
genus	Thermanaerovibrio	1	3	3	3	3	3.00	0.00
genus	Sanguibacter	1	4	4	4	4	4.00	0.00
genus	Veillonella	5	4	4	4	4	4.00	0.00
genus	Xylanimonas	1	3	3	3	3	3.00	0.00
genus	Sphaerobacter	1	2	2	2	2	2.00	0.00
genus	Dickeya	19	7	7	7	7	7.00	0.00
genus	Pirellula	2	1	1	1	1.0	1.00	0.00
genus	Gardnerella	7	2	2	2	2	2.00	0.00
genus	Saccharofermentans	1	2	2	2	2	2.00	0.00
genus	Conexibacter	2	1	1	1	1.0	1.00	0.00
genus	Acidaminococcus	2	3	6		4.5	4.50	1.50
genus	Haloterrigena	6	2	4	3	3.0	3.00	0.58
genus	Geodermatophilus	1	3	3	3	3	3.00	0.00
genus	Pantoea	25	4	7	7	7	6.88	0.59
genus	Allochromatium	1	3	3	3	3	3.00	0.00
genus	Ferroglobus	1	1	1	1	1	1.00	0.00
genus	Enterobacter	161	6	9	8	8	7.96	0.26
genus	Thermocrinis	2	1	1	1	1.0	1.00	0.00
genus	Natrialba	1	3	3	3	3	3.00	0.00
genus	Haloferax	4	2	2	2	2.0	2.00	0.00
genus	Sideroxydans	1	2	2	2	2	2.00	0.00
genus	Denitrovibrio	1	2	2	2	2	2.00	0.00
genus	Methanohalophilus	2	1	3		2.0	2.00	1.00
genus	Aminobacterium	1	3	3	3	3	3.00	0.00
genus	Coraliomargarita	1	2	2	2	2	2.00	0.00
genus	Prevotella	26	3	5	4	4.0	4.04	0.34
genus	Desulfotalea	1	7	7	7	7	7.00	0.00
genus	Azoarcus	13	3	5	4	4	3.77	0.58
genus	Natronomonas	2	1	1	1	1.0	1.00	0.00
genus	Pseudoalteromonas	39	6	12	9	9	8.79	1.28
genus	Erwinia	15	7	7	7	7	7.00	0.00
genus	Xenorhabdus	7	7	7	7	7	7.00	0.00
genus	Chromohalobacter	1	5	5	5	5	5.00	0.00
genus	Lawsonia	2	2	2	2	2.0	2.00	0.00
genus	Gramella	4	3	3	3	3.0	3.00	0.00
genus	Saccharopolyspora	1	4	4	4	4	4.00	0.00
genus	Clavibacter	7	2	2	2	2	2.00	0.00
genus	Sorangium	5	4	4	4	4	4.00	0.00
genus	Bordetella	639	3	5	3	3	3.01	0.11
genus	Proteus	31	1	7	7	7	6.58	1.48
genus	Sphingobium	21	2	4	2	3	2.90	0.81
genus	Planctopirus	2	2	2	2	2.0	2.00	0.00
genus	Thermosphaera	1	1	1	1	1	1.00	0.00
genus	Desulfurivibrio	1	2	2	2	2	2.00	0.00
genus	Tsukamurella	4	2	2	2	2.0	2.00	0.00
genus	Moraxella	22	4	4	4	4.0	4.00	0.00
genus	Arcanobacterium	2	4	4	4	4.0	4.00	0.00
genus	Syntrophothermus	1	2	2	2	2	2.00	0.00
genus	Truepera	1	2	2	2	2	2.00	0.00
genus	Thiomonas	2	1	1	1	1.0	1.00	0.00
genus	Thermobispora	1	4	4	4	4	4.00	0.00
genus	Waddlia	1	2	2	2	2	2.00	0.00
genus	Segniliparus	1	1	1	1	1	1.00	0.00
genus	Cellulomonas	7	2	3	2	2	2.29	0.45
genus	Kyrpidia	2	5	5	5	5.0	5.00	0.00
genus	Starkeya	1	1	1	1	1	1.00	0.00
genus	Thermincola	1	3	3	3	3	3.00	0.00
genus	Nocardiopsis	6	5	6	5	5.0	5.17	0.37
genus	Sporolactobacillaceae_incertae_sedis	3	7	10	7	7	8.00	1.41
genus	Comamonas	8	2	9		4.5	4.75	2.17
genus	Hyphomicrobium	4	1	1	1	1.0	1.00	0.00
genus	Dehalogenimonas	2	1	1	1	1.0	1.00	0.00
genus	Herbaspirillum	10	2	4	3	3.0	3.00	0.45
genus	Olsenella	6	1	4	2	2.0	2.50	1.12
genus	Desulfarculus	1	1	1	1	1	1.00	0.00
genus	Spirochaeta	6	2	7	2	2.5	3.33	1.80
genus	Brevundimonas	13	1	2	2	2	1.92	0.27
genus	Thermosediminibacter	1	3	3	3	3	3.00	0.00
genus	Acetohalobium	1	5	5	5	5	5.00	0.00
genus	Acidilobus	2	1	1	1	1.0	1.00	0.00
genus	Butyrivibrio	2	4	6		5.0	5.00	1.00
genus	Micromonospora	6	3	4	3	3.0	3.17	0.37
genus	Gallionella	1	3	3	3	3	3.00	0.00
genus	Thermoanaerobacterium	5	5	5	5	5	5.00	0.00
genus	Candidatus Cloacamonas	1	2	2	2	2	2.00	0.00
genus	Mesotoga	1	2	2	2	2	2.00	0.00
genus	Methanolacinia	1	2	2	2	2	2.00	0.00
genus	Vulcanisaeta	2	1	1	1	1.0	1.00	0.00
genus	Ferrimonas	1	7	7	7	7	7.00	0.00
genus	Eubacterium	7	2	7	5	5	4.86	1.36
genus	Ferroplasma	2	1	1	1	1.0	1.00	0.00
genus	Parvularcula	1	1	1	1	1	1.00	0.00
genus	Dokdonia	4	3	3	3	3.0	3.00	0.00
genus	Polaribacter	5	2	6		3	4.00	1.67
genus	Maribacter	5	2	3	2	2	2.20	0.40
genus	Psychroflexus	1	3	3	3	3	3.00	0.00
genus	Phaeobacter	34	4	4	4	4.0	4.00	0.00
genus	Octadecabacter	3	1	2	2	2	1.67	0.47
genus	Fusobacterium	42	3	8	5	5.0	5.29	1.08
genus	Filifactor	1	4	4	4	4	4.00	0.00
genus	Ketogulonicigenium	6	5	6	5	5.0	5.17	0.37
genus	Halanaerobium	2	4	4	4	4.0	4.00	0.00
genus	Stigmatella	1	2	2	2	2	2.00	0.00
genus	Ilyobacter	1	8	8	8	8	8.00	0.00
genus	Rubinisphaera	1	2	2	2	2	2.00	0.00
genus	Achromobacter	22	3	4	3	3.0	3.45	0.50
genus	Rhodomicrobium	1	2	2	2	2	2.00	0.00
genus	Methanothermus	1	2	2	2	2	2.00	0.00
genus	Leadbetterella	1	3	3	3	3	3.00	0.00
genus	Halogeometricum	1	2	2	2	2	2.00	0.00
genus	Asticcacaulis	2	3	3	3	3.0	3.00	0.00
genus	Desulfurispirillum	1	3	3	3	3	3.00	0.00
genus	Ethanoligenens	5	3	3	3	3	3.00	0.00
genus	Cellulosilyticum	2	11	11	11	11.0	11.00	0.00
genus	Granulicella	2	1	1	1	1.0	1.00	0.00
genus	Alicycliphilus	2	3	3	3	3.0	3.00	0.00
genus	Methanothermococcus	2	2	2	2	2.0	2.00	0.00
genus	Ruminococcus	2	4	4	4	4.0	4.00	0.00
genus	Terriglobus	3	1	2	1	1	1.33	0.47
genus	Komagataeibacter	7	5	5	5	5	5.00	0.00
genus	Paludibacter	1	3	3	3	3	3.00	0.00
genus	Riemerella	13	2	3	3	3	2.92	0.27
genus	Calditerrivibrio	1	2	2	2	2	2.00	0.00
genus	Marivirga	1	2	2	2	2	2.00	0.00
genus	Sulfuricurvum	1	3	3	3	3	3.00	0.00
genus	Oceanithermus	1	2	2	2	2	2.00	0.00
genus	Intrasporangium	2	2	2	2	2.0	2.00	0.00
genus	Thermaerobacter	2	2	2	2	2.0	2.00	0.00
genus	Thermovibrio	1	3	3	3	3	3.00	0.00
genus	Pseudoxanthomonas	3	1	2	1	1	1.33	0.47
genus	Nitratifractor	1	2	2	2	2	2.00	0.00
genus	Cellulophaga	6	4	5	4	4.0	4.17	0.37
genus	Isosphaera	1	3	3	3	3	3.00	0.00
genus	Weeksella	2	5	5	5	5.0	5.00	0.00
genus	Sphaerochaeta	3	3	4	4	4	3.67	0.47
genus	Odoribacter	2	4	4	4	4.0	4.00	0.00
genus	Syntrophobotulus	1	4	4	4	4	4.00	0.00
genus	Pseudopedobacter	1	4	4	4	4	4.00	0.00
genus	Desulfurobacterium	1	2	2	2	2	2.00	0.00
genus	Methanobacterium	9	2	3	2	2	2.22	0.42
genus	Olivibacter	2	4	4	4	4.0	4.00	0.00
genus	Aerococcus	13	1	7		4	3.31	2.01
genus	Thermoproteus	4	1	1	1	1.0	1.00	0.00
genus	Hippea	1	2	2	2	2	2.00	0.00
genus	Fluviicola	2	2	3		2.5	2.50	0.50
genus	Desulfobacca	1	1	1	1	1	1.00	0.00
genus	Coriobacterium	1	2	2	2	2	2.00	0.00
genus	Marinithermus	1	3	3	3	3	3.00	0.00
genus	Carnobacterium	6	6	8		7.0	7.00	1.00
genus	Rhodopirellula	6	1	2	1	1.0	1.33	0.47
genus	Wolinella	2	3	3	3	3.0	3.00	0.00
genus	Photorhabdus	6	7	7	7	7.0	7.00	0.00
genus	Bdellovibrio	8	1	2	2	2.0	1.62	0.48
genus	Photobacterium	7	9	21	15	15	14.14	3.83
genus	Croceibacter	1	2	2	2	2	2.00	0.00
genus	Nitrosospira	3	1	1	1	1	1.00	0.00
genus	Acetoanaerobium	1	6	6	6	6	6.00	0.00
